id,Latitude,Longitude,name
127,29.25,-83,LO-83.0_LA29.25.png
128,29.25,-82.75,LO-82.75_LA29.25.png
129,29,-82.75,LO-82.75_LA29.0.png
130,28.75,-82.75,LO-82.75_LA28.75.png
131,28.5,-82.75,LO-82.75_LA28.5.png
132,28.25,-82.75,LO-82.75_LA28.25.png
133,28,-82.75,LO-82.75_LA28.0.png
134,27.75,-82.75,LO-82.75_LA27.75.png
135,27.5,-82.75,LO-82.75_LA27.5.png
136,28,-82.5,LO-82.5_LA28.0.png
137,27.75,-82.5,LO-82.5_LA27.75.png
138,27.5,-82.5,LO-82.5_LA27.5.png
139,27.25,-82.5,LO-82.5_LA27.25.png
140,27,-82.5,LO-82.5_LA27.0.png
141,31,-81.5,LO-81.5_LA31.0.png
142,30.75,-81.5,LO-81.5_LA30.75.png
143,31.75,-81.25,LO-81.25_LA31.75.png
144,30.5,-81.5,LO-81.5_LA30.5.png
145,27,-82.25,LO-82.25_LA27.0.png
146,31.5,-81.25,LO-81.25_LA31.5.png
147,30.25,-81.5,LO-81.5_LA30.25.png
148,26.75,-82.25,LO-82.25_LA26.75.png
149,31.25,-81.25,LO-81.25_LA31.25.png
150,32,-81,LO-81.0_LA32.0.png
151,31.75,-81,LO-81.0_LA31.75.png
152,27,-82,LO-82.0_LA27.0.png
153,30.25,-81.25,LO-81.25_LA30.25.png
154,26.75,-82,LO-82.0_LA26.75.png
155,30,-81.25,LO-81.25_LA30.0.png
156,32.25,-80.75,LO-80.75_LA32.25.png
157,26.5,-82,LO-82.0_LA26.5.png
158,29.75,-81.25,LO-81.25_LA29.75.png
159,32,-80.75,LO-80.75_LA32.0.png
160,29.5,-81.25,LO-81.25_LA29.5.png
161,32.5,-80.5,LO-80.5_LA32.5.png
162,32.25,-80.5,LO-80.5_LA32.25.png
163,26.5,-81.75,LO-81.75_LA26.5.png
164,26.25,-81.75,LO-81.75_LA26.25.png
165,29.5,-81,LO-81.0_LA29.5.png
166,26,-81.75,LO-81.75_LA26.0.png
167,29.25,-81,LO-81.0_LA29.25.png
168,29,-81,LO-81.0_LA29.0.png
169,32.5,-80.25,LO-80.25_LA32.5.png
170,26,-81.5,LO-81.5_LA26.0.png
171,32.75,-80,LO-80.0_LA32.75.png
172,25.75,-81.5,LO-81.5_LA25.75.png
173,29,-80.75,LO-80.75_LA29.0.png
174,32.5,-80,LO-80.0_LA32.5.png
175,24.5,-81.75,LO-81.75_LA24.5.png
176,28.75,-80.75,LO-80.75_LA28.75.png
177,32.75,-79.75,LO-79.75_LA32.75.png
178,24.75,-81.5,LO-81.5_LA24.75.png
179,25.75,-81.25,LO-81.25_LA25.75.png
180,24.5,-81.5,LO-81.5_LA24.5.png
181,25.5,-81.25,LO-81.25_LA25.5.png
182,25.25,-81.25,LO-81.25_LA25.25.png
183,28.5,-80.5,LO-80.5_LA28.5.png
184,33,-79.5,LO-79.5_LA33.0.png
185,28.25,-80.5,LO-80.5_LA28.25.png
186,24.75,-81.25,LO-81.25_LA24.75.png
187,28,-80.5,LO-80.5_LA28.0.png
188,27.75,-80.5,LO-80.5_LA27.75.png
189,33.5,-79.25,LO-79.25_LA33.5.png
190,25.25,-81,LO-81.0_LA25.25.png
191,33.25,-79.25,LO-79.25_LA33.25.png
192,25,-81,LO-81.0_LA25.0.png
193,33,-79.25,LO-79.25_LA33.0.png
194,24.75,-81,LO-81.0_LA24.75.png
195,33.75,-79,LO-79.0_LA33.75.png
196,27.75,-80.25,LO-80.25_LA27.75.png
197,33.5,-79,LO-79.0_LA33.5.png
198,27.5,-80.25,LO-80.25_LA27.5.png
199,25.25,-80.75,LO-80.75_LA25.25.png
200,27.25,-80.25,LO-80.25_LA27.25.png
201,33.75,-78.75,LO-78.75_LA33.75.png
202,25.25,-80.5,LO-80.5_LA25.25.png
203,25,-80.5,LO-80.5_LA25.0.png
204,27,-80,LO-80.0_LA27.0.png
205,34,-78.5,LO-78.5_LA34.0.png
206,25.75,-80.25,LO-80.25_LA25.75.png
207,26.75,-80,LO-80.0_LA26.75.png
208,33.75,-78.5,LO-78.5_LA33.75.png
209,25.5,-80.25,LO-80.25_LA25.5.png
210,26.5,-80,LO-80.0_LA26.5.png
211,25.25,-80.25,LO-80.25_LA25.25.png
212,26.25,-80,LO-80.0_LA26.25.png
213,26,-80,LO-80.0_LA26.0.png
214,34,-78.25,LO-78.25_LA34.0.png
215,34,-78,LO-78.0_LA34.0.png
216,33.75,-78,LO-78.0_LA33.75.png
217,38.25,-77,LO-77.0_LA38.25.png
218,34.25,-77.75,LO-77.75_LA34.25.png
219,34.5,-77.5,LO-77.5_LA34.5.png
220,38.25,-76.75,LO-76.75_LA38.25.png
221,39.25,-76.5,LO-76.5_LA39.25.png
222,39,-76.5,LO-76.5_LA39.0.png
223,38.75,-76.5,LO-76.5_LA38.75.png
224,34.75,-77.25,LO-77.25_LA34.75.png
225,38.5,-76.5,LO-76.5_LA38.5.png
226,34.5,-77.25,LO-77.25_LA34.5.png
227,37,-76.75,LO-76.75_LA37.0.png
228,38.25,-76.5,LO-76.5_LA38.25.png
229,39.5,-76.25,LO-76.25_LA39.5.png
230,38,-76.5,LO-76.5_LA38.0.png
231,39.25,-76.25,LO-76.25_LA39.25.png
232,39,-76.25,LO-76.25_LA39.0.png
233,38.75,-76.25,LO-76.25_LA38.75.png
234,34.75,-77,LO-77.0_LA34.75.png
235,37.25,-76.5,LO-76.5_LA37.25.png
236,38.5,-76.25,LO-76.25_LA38.5.png
237,37,-76.5,LO-76.5_LA37.0.png
238,38.25,-76.25,LO-76.25_LA38.25.png
239,39.5,-76,LO-76.0_LA39.5.png
240,38,-76.25,LO-76.25_LA38.0.png
241,39.25,-76,LO-76.0_LA39.25.png
242,37.75,-76.25,LO-76.25_LA37.75.png
243,37.5,-76.25,LO-76.25_LA37.5.png
244,34.75,-76.75,LO-76.75_LA34.75.png
245,37.25,-76.25,LO-76.25_LA37.25.png
246,37,-76.25,LO-76.25_LA37.0.png
247,38.25,-76,LO-76.0_LA38.25.png
248,38,-76,LO-76.0_LA38.0.png
249,37.75,-76,LO-76.0_LA37.75.png
250,37.5,-76,LO-76.0_LA37.5.png
251,34.75,-76.5,LO-76.5_LA34.75.png
252,37.25,-76,LO-76.0_LA37.25.png
253,34.5,-76.5,LO-76.5_LA34.5.png
254,37,-76,LO-76.0_LA37.0.png
255,38.25,-75.75,LO-75.75_LA38.25.png
256,39.5,-75.5,LO-75.5_LA39.5.png
257,36.75,-76,LO-76.0_LA36.75.png
258,38,-75.75,LO-75.75_LA38.0.png
259,39.25,-75.5,LO-75.5_LA39.25.png
260,37.75,-75.75,LO-75.75_LA37.75.png
261,35,-76.25,LO-76.25_LA35.0.png
262,37.5,-75.75,LO-75.75_LA37.5.png
263,34.75,-76.25,LO-76.25_LA34.75.png
264,37.25,-75.75,LO-75.75_LA37.25.png
265,38,-75.5,LO-75.5_LA38.0.png
266,35.25,-76,LO-76.0_LA35.25.png
267,39.25,-75.25,LO-75.25_LA39.25.png
268,36.5,-75.75,LO-75.75_LA36.5.png
269,37.75,-75.5,LO-75.5_LA37.75.png
270,35,-76,LO-76.0_LA35.0.png
271,39,-75.25,LO-75.25_LA39.0.png
272,36.25,-75.75,LO-75.75_LA36.25.png
273,37.5,-75.5,LO-75.5_LA37.5.png
274,38.75,-75.25,LO-75.25_LA38.75.png
275,36,-75.75,LO-75.75_LA36.0.png
276,38.25,-75.25,LO-75.25_LA38.25.png
277,38,-75.25,LO-75.25_LA38.0.png
278,35.25,-75.75,LO-75.75_LA35.25.png
279,39.25,-75,LO-75.0_LA39.25.png
280,37.75,-75.25,LO-75.25_LA37.75.png
281,39,-75,LO-75.0_LA39.0.png
282,38.75,-75,LO-75.0_LA38.75.png
283,36,-75.5,LO-75.5_LA36.0.png
284,38.5,-75,LO-75.0_LA38.5.png
285,35.75,-75.5,LO-75.5_LA35.75.png
286,38.25,-75,LO-75.0_LA38.25.png
287,35.5,-75.5,LO-75.5_LA35.5.png
288,35.25,-75.5,LO-75.5_LA35.25.png
289,39.25,-74.75,LO-74.75_LA39.25.png
290,39,-74.75,LO-74.75_LA39.0.png
291,39.5,-74.5,LO-74.5_LA39.5.png
292,40.75,-74.25,LO-74.25_LA40.75.png
293,39.25,-74.5,LO-74.5_LA39.25.png
294,40.5,-74.25,LO-74.25_LA40.5.png
295,39.75,-74.25,LO-74.25_LA39.75.png
296,39.5,-74.25,LO-74.25_LA39.5.png
297,40.75,-74,LO-74.0_LA40.75.png
298,40.5,-74,LO-74.0_LA40.5.png
299,40.25,-74,LO-74.0_LA40.25.png
300,40,-74,LO-74.0_LA40.0.png
301,39.75,-74,LO-74.0_LA39.75.png
302,41,-73.75,LO-73.75_LA41.0.png
303,40.75,-73.75,LO-73.75_LA40.75.png
304,40.5,-73.75,LO-73.75_LA40.5.png
305,41,-73.5,LO-73.5_LA41.0.png
306,40.75,-73.5,LO-73.5_LA40.75.png
307,41.25,-73.25,LO-73.25_LA41.25.png
308,41,-73.25,LO-73.25_LA41.0.png
309,40.75,-73.25,LO-73.25_LA40.75.png
310,41.25,-73,LO-73.0_LA41.25.png
311,41,-73,LO-73.0_LA41.0.png
312,40.75,-73,LO-73.0_LA40.75.png
313,41.25,-72.75,LO-72.75_LA41.25.png
314,41,-72.75,LO-72.75_LA41.0.png
315,40.75,-72.75,LO-72.75_LA40.75.png
316,41.25,-72.5,LO-72.5_LA41.25.png
317,41,-72.5,LO-72.5_LA41.0.png
318,40.75,-72.5,LO-72.5_LA40.75.png
